time,x,y
2.250000000000e0,7.953206191794e-1,4.447660775120e0
2.300000000000e0,7.693168613191e-1,4.376673934058e0
2.350000000000e0,7.452162239388e-1,4.306280889587e0
2.400000000000e0,7.228830262729e-1,4.236528429371e0
2.450000000000e0,7.021933021194e-1,4.167457749639e0
2.500000000000e0,6.830337834311e-1,4.099104969868e0
2.550000000000e0,6.653009724324e-1,4.031501602151e0
2.600000000000e0,6.489002957001e-1,3.964674978912e0
2.650000000000e0,6.337453338479e-1,3.898648642455e0
2.700000000000e0,6.197571207244e-1,3.833442699586e0
2.750000000000e0,6.068635063552e-1,3.769074144347e0
2.800000000000e0,5.949985782141e-1,3.705557151645e0
2.850000000000e0,5.841021357709e-1,3.642903344380e0
2.900000000000e0,5.741192136289e-1,3.581122036445e0
2.950000000000e0,5.649996489291e-1,3.520220453762e0
3.000000000000e0,5.566976890414e-1,3.460203935378e0
3.050000000000e0,5.491716358993e-1,3.401076116413e0
3.100000000000e0,5.423835236448e-1,3.342839094531e0
3.150000000000e0,5.362988265452e-1,3.285493581453e0
3.200000000000e0,5.308861944171e-1,3.229039040868e0
3.250000000000e0,5.261172130438e-1,3.173473814004e0
3.300000000000e0,5.219661873077e-1,3.118795233990e0
3.350000000000e0,5.184099449702e-1,3.064999730025e0
3.400000000000e0,5.154276592301e-1,3.012082922308e0
3.450000000000e0,5.130006883682e-1,2.960039708552e0
3.500000000000e0,5.111124309494e-1,2.908864342871e0
3.550000000000e0,5.097481952014e-1,2.858550507709e0
3.600000000000e0,5.088950813235e-1,2.809091379473e0
3.650000000000e0,5.085418756012e-1,2.760479688407e0
3.700000000000e0,5.086789553116e-1,2.712707773262e0
3.750000000000e0,5.092982035073e-1,2.665767631195e0
3.800000000000e0,5.103929328534e-1,2.619650963351e0
3.850000000000e0,5.119578177768e-1,2.574349216509e0
3.900000000000e0,5.139888342613e-1,2.529853621131e0
3.950000000000e0,5.164832066859e-1,2.486155226154e0
4.000000000000e0,5.194393611682e-1,2.443244930793e0
4.050000000000e0,5.228568849262e-1,2.401113513645e0
4.100000000000e0,5.267364912245e-1,2.359751659305e0
4.150000000000e0,5.310799895121e-1,2.319149982743e0
4.200000000000e0,5.358902604033e-1,2.279299051617e0
4.250000000000e0,5.411712351866e-1,2.240189406715e0
4.300000000000e0,5.469278795817e-1,2.201811580698e0
4.350000000000e0,5.531661814947e-1,2.164156115281e0
4.400000000000e0,5.598931425472e-1,2.127213577006e0
4.450000000000e0,5.671167731819e-1,2.090974571716e0
4.500000000000e0,5.748460911669e-1,2.055429757873e0
4.550000000000e0,5.830911233455e-1,2.020569858799e0
4.600000000000e0,5.918629104898e-1,1.986385673956e0
4.650000000000e0,6.011735151410e-1,1.952868089351e0
4.700000000000e0,6.110360323277e-1,1.920008087147e0
4.750000000000e0,6.214646030695e-1,1.887796754561e0
