time,x,v,u
3.360000000000e+00,7.728170596604e-01,3.802460897972e-01,7.100665046280e-01
3.380000000000e+00,7.803855236310e-01,3.765456903905e-01,7.001393566287e-01
3.400000000000e+00,7.878767049278e-01,3.725179499461e-01,6.900749835569e-01
3.420000000000e+00,7.952840649332e-01,3.681637162971e-01,6.798753579975e-01
3.440000000000e+00,8.026010836350e-01,3.634840020042e-01,6.695424790444e-01
3.460000000000e+00,8.098212629121e-01,3.584799834913e-01,6.590783719088e-01
3.480000000000e+00,8.169381298029e-01,3.531530001127e-01,6.484850875222e-01
3.500000000000e+00,8.239452397541e-01,3.475045531533e-01,6.377647021345e-01
3.520000000000e+00,8.308361798482e-01,3.415363047622e-01,6.269193169068e-01
3.540000000000e+00,8.376045720102e-01,3.352500768199e-01,6.159510575000e-01
3.560000000000e+00,8.442440761901e-01,3.286478497404e-01,6.048620736578e-01
3.580000000000e+00,8.507483935210e-01,3.217317612098e-01,5.936545387855e-01
3.600000000000e+00,8.571112694513e-01,3.145041048598e-01,5.823306495241e-01
3.620000000000e+00,8.633264968503e-01,3.069673288797e-01,5.708926253196e-01
3.640000000000e+00,8.693879190842e-01,2.991240345656e-01,5.593427079881e-01
3.660000000000e+00,8.752894330641e-01,2.909769748089e-01,5.476831612765e-01
3.680000000000e+00,8.810249922614e-01,2.825290525246e-01,5.359162704186e-01
3.700000000000e+00,8.865886096929e-01,2.737833190199e-01,5.240443416873e-01
3.720000000000e+00,8.919743608710e-01,2.647429723051e-01,5.120697019427e-01
3.740000000000e+00,8.971763867213e-01,2.554113553463e-01,4.999946981757e-01
3.760000000000e+00,9.021888964630e-01,2.457919542621e-01,4.878216970486e-01
3.780000000000e+00,9.070061704537e-01,2.358883964645e-01,4.755530844306e-01
3.800000000000e+00,9.116225629964e-01,2.257044487455e-01,4.631912649303e-01
3.820000000000e+00,9.160325051075e-01,2.152440153103e-01,4.507386614250e-01
3.840000000000e+00,9.202305072446e-01,2.045111357576e-01,4.381977145850e-01
3.860000000000e+00,9.242111619942e-01,1.935099830090e-01,4.255708823957e-01
3.880000000000e+00,9.279691467167e-01,1.822448611873e-01,4.128606396759e-01
3.900000000000e+00,9.314992261489e-01,1.707202034468e-01,4.000694775924e-01
3.920000000000e+00,9.347962549628e-01,1.589405697540e-01,3.871999031721e-01
3.940000000000e+00,9.378551802787e-01,1.469106446219e-01,3.742544388102e-01
3.960000000000e+00,9.406710441335e-01,1.346352347989e-01,3.612356217765e-01
3.980000000000e+00,9.432389859019e-01,1.221192669117e-01,3.481460037173e-01
4.000000000000e+00,9.455542446699e-01,1.093677850655e-01,3.349881501559e-01
4.020000000000e+00,9.476121615601e-01,9.638594840141e-02,3.217646399895e-01
4.040000000000e+00,9.494081820075e-01,8.317902861228e-02,3.084780649837e-01
4.060000000000e+00,9.509378579856e-01,6.975240741891e-02,2.951310292647e-01
4.080000000000e+00,9.521968501812e-01,5.611157400689e-02,2.817261488088e-01
4.100000000000e+00,9.531809301179e-01,4.226212242599e-02,2.682660509296e-01
4.120000000000e+00,9.538859822268e-01,2.820974895284e-02,2.547533737633e-01
4.140000000000e+00,9.543080058649e-01,1.396024941851e-02,2.411907657512e-01
4.160000000000e+00,9.544431172784e-01,-4.804834980761e-04,2.275808851211e-01
4.180000000000e+00,9.542875515132e-01,-1.510646300947e-02,2.139263993662e-01
4.200000000000e+00,9.538376642686e-01,-2.991161099061e-02,2.002299847218e-01
4.220000000000e+00,9.530899336967e-01,-4.488976078000e-02,1.864943256414e-01
4.240000000000e+00,9.520409621444e-01,-6.003466000992e-02,1.727221142702e-01
4.260000000000e+00,9.506874778396e-01,-7.533997346441e-02,1.589160499175e-01
4.280000000000e+00,9.490263365186e-01,-9.079928596367e-02,1.450788385278e-01
4.300000000000e+00,9.470545229968e-01,-1.064061052738e-01,1.312131921502e-01
4.320000000000e+00,9.447691526806e-01,-1.221538650401e-01,1.173218284070e-01
4.340000000000e+00,9.421674730199e-01,-1.380359277437e-01,1.034074699610e-01
4.360000000000e+00,9.392468649018e-01,-1.540455876786e-01,8.947284398188e-02
4.380000000000e+00,9.360048439846e-01,-1.701760739495e-01,7.552068161182e-02
4.400000000000e+00,9.324390619710e-01,-1.864205534877e-01,6.155371742992e-02
4.420000000000e+00,9.285473078219e-01,-2.027721340852e-01,4.757468891646e-02
4.440000000000e+00,9.243275089080e-01,-2.192238674444e-01,3.358633591627e-02
4.460000000000e+00,9.197777321015e-01,-2.357687522426e-01,1.959140010176e-02
4.480000000000e+00,9.148961848058e-01,-2.523997372104e-01,5.592624435552e-03
4.500000000000e+00,9.096812159230e-01,-2.691097242216e-01,-8.407247367143e-03
4.520000000000e+00,9.041313167610e-01,-2.858915713953e-01,-2.240547137627e-02
4.540000000000e+00,8.982451218764e-01,-3.027380962060e-01,-3.639930398473e-02
4.560000000000e+00,8.920214098571e-01,-3.196420786037e-01,-5.038600244614e-02
4.580000000000e+00,8.854591040413e-01,-3.365962641394e-01,-6.436282541236e-02
4.600000000000e+00,8.785572731736e-01,-3.535933670974e-01,-7.832703347086e-02
4.620000000000e+00,8.713151320000e-01,-3.706260736321e-01,-9.227588968154e-02
4.640000000000e+00,8.637320417981e-01,-3.876870449071e-01,-1.062066601132e-01
4.660000000000e+00,8.558075108463e-01,-4.047689202369e-01,-1.201166143796e-01
4.680000000000e+00,8.475411948288e-01,-4.218643202291e-01,-1.340030261740e-01
4.700000000000e+00,8.389328971786e-01,-4.389658499256e-01,-1.478631738043e-01
4.720000000000e+00,8.299825693574e-01,-4.560661019422e-01,-1.616943407259e-01
4.740000000000e+00,8.206903110727e-01,-4.731576596048e-01,-1.754938160743e-01
4.760000000000e+00,8.110563704321e-01,-4.902331000815e-01,-1.892588951966e-01
4.780000000000e+00,8.010811440355e-01,-5.072849975081e-01,-2.029868801813e-01
4.800000000000e+00,7.907651770046e-01,-5.243059261081e-01,-2.166750803874e-01
